tempo,rootlocus,referencia,bode
26730,26632,26730,26667
26892,26794,26892,26829
27008,26910,27008,26945
27124,27027,27124,27061
27264,27168,27264,27202
27424,27328,27424,27362
27569,27474,27569,27507
27687,27592,27687,27624
27796,27701,27796,27734
27923,27829,27923,27861
28078,27984,28078,28016
28235,28142,28235,28173
28365,28272,28365,28303
28474,28381,28474,28412
28589,28497,28589,28527
28731,28640,28731,28669
28893,28802,28893,28831
29009,28918,29009,28947
29125,29034,29125,29063
29265,29176,29265,29204
29425,29336,29425,29364
29570,29481,29570,29509
29688,29599,29688,29627
29797,29708,29797,29736
29924,29836,29924,29863
30000,29912,30000,29939
