real
-0.21395
-0.21393
-0.21381
-0.21366
-0.21347
-0.21322
-0.2129
-0.21248
-0.21195
-0.21126
-0.21038
-0.20925
-0.20782
-0.20599
-0.20367
-0.20075
-0.19709
-0.19256
-0.18701
-0.18217
-0.18029
-0.17229
-0.16294
-0.15227
-0.14038
-0.12751
-0.11401
-0.10028
-0.086775
-0.073912
-0.062027
-0.051355
-0.042012
-0.034015
-0.027298
-0.021748
-0.017223
-0.013572
-0.01149
-0.010654
-0.0083369
-0.0065078
-0.0050701
-0.0039439
-0.0030643
-0.0023786
-0.001845
-0.0014303
-0.0011083
-0.00085856
-0.00066489
-0.00051481
-0.00039853
-0.00030849
-0.00023876
-0.00018478
-0.000143
-0.00012134
-0.00011066
-8.5629e-05
-1.214e-06
-8.5663e-07
-1.214e-08
-1.214e-10
-8.5663e-11
-1.214e-12
-1.214e-14
-1.214e-16
-8.5663e-17
-1.214e-18
-1.214e-20
-1.214e-22
-1.2141e-24
-8.5667e-25
-1.2138e-26
-1.2158e-28
-1.2867e-30
-4.1007e-33
1.5614e-34
1.3116e-34
1.5614e-35
1.5614e-36
1.5614e-37
1.5614e-38
1.5614e-39
