imag
-2.542
-2.4731
-2.173
-1.9087
-1.6759
-1.4707
-1.2897
-1.13
-0.98893
-0.86418
-0.75372
-0.65575
-0.56868
-0.49112
-0.42187
-0.35985
-0.30418
-0.25409
-0.20897
-0.17856
-0.16835
-0.13188
-0.099363
-0.070678
-0.045791
-0.024685
-0.0073168
0.0064358
0.016799
0.02411
0.028792
0.031316
0.03216
0.031762
0.030504
0.028697
0.02658
0.024329
0.022765
0.022068
0.019877
0.017808
0.015888
0.01413
0.012535
0.011098
0.009812
0.0086648
0.0076449
0.0067404
0.0059398
0.0052321
0.0046072
0.004056
0.0035701
0.0031419
0.0027647
0.0025471
0.0024326
0.0021403
0.000255
0.0002142
2.55e-05
2.55e-06
2.142e-06
2.55e-07
2.55e-08
2.55e-09
2.142e-09
2.55e-10
2.55e-11
2.55e-12
2.55e-13
2.142e-13
2.55e-14
2.55e-15
2.55e-16
2.55e-17
2.55e-18
2.142e-18
2.55e-19
2.55e-20
2.55e-21
2.55e-22
2.55e-23
