tempo,referencia,temperatura
216.56,25,27.474
217.56,25,27.457
218.56,25,27.439
219.56,25,27.421
220.56,25,27.403
221.56,25,27.385
222.56,25,27.367
223.56,25,27.348
224.56,25,27.329
225.56,25,27.31
226.56,25,27.29
227.56,25,27.271
228.56,25,27.251
229.56,25,27.232
230.56,25,27.212
231.56,25,27.192
232.56,25,27.172
233.56,25,27.151
234.56,25,27.131
235.56,25,27.111
236.56,25,27.091
237.56,25,27.07
238.56,25,27.05
239.56,25,27.029
240.56,25,27.009
241.56,25,26.988
242.56,25,26.968
243.56,25,26.948
244.56,25,26.927
245.56,25,26.907
246.56,25,26.886
247.56,25,26.866
248.56,25,26.846
249.56,25,26.826
250.56,25,26.805
251.56,25,26.785
252.56,25,26.765
253.56,25,26.745
254.56,25,26.726
255.56,25,26.706
256.56,25,26.686
257.56,25,26.666
258.56,25,26.647
259.56,25,26.628
260.56,25,26.608
261.56,25,26.589
262.56,25,26.57
263.56,25,26.551
264.56,25,26.532
265.56,25,26.514
266.56,25,26.495
267.56,25,26.477
268.56,25,26.458
269.56,25,26.44
270.56,25,26.422
271.56,25,26.404
272.56,25,26.386
273.56,25,26.369
274.56,25,26.351
275.56,25,26.334
276.56,25,26.316
277.56,25,26.299
278.56,25,26.282
279.56,25,26.266
280.56,25,26.249
281.56,25,26.232
282.56,25,26.216
283.56,25,26.2
284.56,25,26.184
285.56,25,26.168
286.56,25,26.152
287.56,25,26.137
288.56,25,26.121
289.56,25,26.106
290.56,25,26.091
291.56,25,26.076
292.56,25,26.061
293.56,25,26.046
294.56,25,26.032
295.56,25,26.017
296.56,25,26.003
297.56,25,25.989
298.56,25,25.975
299.56,25,25.961
300,25,25.955
300.44,25,25.95
300.87,25,25.944
301.31,25,25.938
301.75,25,25.932
302.18,25,25.926
302.62,25,25.92
303.62,25,25.907
304.62,25,25.894
305.62,25,25.881
306.62,25,25.869
307.62,25,25.856
308.62,25,25.844
309.62,25,25.831
310.62,25,25.819
311.62,25,25.807
312.62,25,25.795
313.62,25,25.784
314.62,25,25.772
315.62,25,25.761
316.62,25,25.749
317.62,25,25.738
318.62,25,25.727
319.62,25,25.716
320.62,25,25.706
321.62,25,25.695
322.62,25,25.685
323.62,25,25.674
324.62,25,25.664
325.62,25,25.654
326.62,25,25.644
327.62,25,25.634
328.62,25,25.625
329.62,25,25.615
330.62,25,25.606
331.62,25,25.596
332.62,25,25.587
333.62,25,25.578
334.62,25,25.569
335.62,25,25.56
336.62,25,25.552
337.62,25,25.543
338.62,25,25.535
339.62,25,25.526
340.62,25,25.518
341.62,25,25.51
342.62,25,25.502
343.62,25,25.494
344.62,25,25.486
345.62,25,25.479
346.62,25,25.471
347.62,25,25.464
348.62,25,25.456
349.62,25,25.449
350.62,25,25.442
351.62,25,25.435
352.62,25,25.428
353.62,25,25.421
354.62,25,25.414
355.62,25,25.408
356.62,25,25.401
357.62,25,25.395
358.62,25,25.388
359.62,25,25.382
360.62,25,25.376
361.62,25,25.37
362.62,25,25.364
363.62,25,25.358
364.62,25,25.352
365.62,25,25.346
366.62,25,25.34
367.62,25,25.335
368.62,25,25.329
369.62,25,25.324
370.62,25,25.319
371.62,25,25.313
372.62,25,25.308
373.62,25,25.303
374.62,25,25.298
375.62,25,25.293
376.62,25,25.288
377.62,25,25.283
378.62,25,25.279
379.62,25,25.274
380.62,25,25.269
381.62,25,25.265
382.62,25,25.26
383.62,25,25.256
384.62,25,25.252
385.62,25,25.248
386.62,25,25.243
387.62,25,25.239
388.62,25,25.235
389.62,25,25.231
390.62,25,25.227
391.62,25,25.223
392.62,25,25.22
393.62,25,25.216
394.62,25,25.212
395.62,25,25.209
396.62,25,25.205
397.62,25,25.202
398.62,25,25.198
399.62,25,25.195
400,25,25.193
400.38,25,25.192
400.76,25,25.191
401.14,25,25.19
401.51,25,25.188
401.89,25,25.187
402.27,25,25.186
403.27,25,25.183
404.27,25,25.18
405.27,25,25.177
406.27,25,25.173
407.27,25,25.17
408.27,25,25.167
409.27,25,25.165
410.27,25,25.162
411.27,25,25.159
412.27,25,25.156
413.27,25,25.153
414.27,25,25.151
415.27,25,25.148
416.27,25,25.146
417.27,25,25.143
418.27,25,25.14
419.27,25,25.138
420.27,25,25.136
421.27,25,25.133
422.27,25,25.131
423.27,25,25.129
424.27,25,25.126
425.27,25,25.124
426.27,25,25.122
427.27,25,25.12
428.27,25,25.118
429.27,25,25.115
430.27,25,25.113
431.27,25,25.111
432.27,25,25.109
433.27,25,25.107
434.27,25,25.106
435.27,25,25.104
436.27,25,25.102
437.27,25,25.1
438.27,25,25.098
439.27,25,25.096
440.27,25,25.095
441.27,25,25.093
442.27,25,25.091
443.27,25,25.09
444.27,25,25.088
445.27,25,25.086
446.27,25,25.085
447.27,25,25.083
448.27,25,25.082
449.27,25,25.08
450.27,25,25.079
451.27,25,25.077
452.27,25,25.076
453.27,25,25.075
454.27,25,25.073
455.27,25,25.072
456.27,25,25.071
457.27,25,25.069
458.27,25,25.068
459.27,25,25.067
460.27,25,25.066
461.27,25,25.064
462.27,25,25.063
463.27,25,25.062
464.27,25,25.061
465.27,25,25.06
466.27,25,25.059
467.27,25,25.058
468.27,25,25.057
469.27,25,25.056
470.27,25,25.055
471.27,25,25.054
472.27,25,25.053
473.27,25,25.052
474.27,25,25.051
475.27,25,25.05
476.27,25,25.049
477.27,25,25.048
478.27,25,25.047
479.27,25,25.046
480.27,25,25.045
481.27,25,25.044
482.27,25,25.044
483.27,25,25.043
484.27,25,25.042
485.27,25,25.041
486.27,25,25.04
487.27,25,25.04
488.27,25,25.039
489.27,25,25.038
490.27,25,25.037
491.27,25,25.037
492.27,25,25.036
493.27,25,25.035
494.27,25,25.035
495.27,25,25.034
496.27,25,25.033
497.27,25,25.033
498.27,25,25.032
499.27,25,25.031
500,25,25.031
500.73,25,25.031
501.46,25,25.03
502.19,25,25.03
502.92,25,25.029
503.65,25,25.029
504.38,25,25.029
505.38,25,25.028
506.38,25,25.027
507.38,25,25.027
508.38,25,25.026
509.38,25,25.026
510.38,25,25.025
511.38,25,25.025
512.38,25,25.024
513.38,25,25.024
514.38,25,25.024
515.38,25,25.023
516.38,25,25.023
517.38,25,25.022
518.38,25,25.022
519.38,25,25.021
520.38,25,25.021
521.38,25,25.021
522.38,25,25.02
523.38,25,25.02
524.38,25,25.019
525.38,25,25.019
526.38,25,25.019
527.38,25,25.018
528.38,25,25.018
529.38,25,25.018
530.38,25,25.017
531.38,25,25.017
532.38,25,25.017
533.38,25,25.016
534.38,25,25.016
535.38,25,25.016
536.38,25,25.015
537.38,25,25.015
538.38,25,25.015
539.38,25,25.014
540.38,25,25.014
541.38,25,25.014
542.38,25,25.014
543.38,25,25.013
544.38,25,25.013
545.38,25,25.013
546.38,25,25.013
547.38,25,25.012
548.38,25,25.012
549.38,25,25.012
550.38,25,25.012
551.38,25,25.011
552.38,25,25.011
553.38,25,25.011
554.38,25,25.011
555.38,25,25.01
556.38,25,25.01
557.38,25,25.01
558.38,25,25.01
559.38,25,25.01
560.38,25,25.009
561.38,25,25.009
562.38,25,25.009
563.38,25,25.009
564.38,25,25.009
565.38,25,25.009
566.38,25,25.008
567.38,25,25.008
568.38,25,25.008
569.38,25,25.008
570.38,25,25.008
571.38,25,25.008
572.38,25,25.007
573.38,25,25.007
574.38,25,25.007
575.38,25,25.007
576.38,25,25.007
577.38,25,25.007
578.38,25,25.007
579.38,25,25.006
580.38,25,25.006
581.38,25,25.006
582.38,25,25.006
583.38,25,25.006
584.38,25,25.006
585.38,25,25.006
586.38,25,25.006
587.38,25,25.005
588.38,25,25.005
589.38,25,25.005
590.38,25,25.005
591.38,25,25.005
592.38,25,25.005
593.38,25,25.005
594.38,25,25.005
595.38,25,25.005
596.38,25,25.005
597.38,25,25.004
598.38,25,25.004
599.38,25,25.004
600,25,25.004
600.62,25,25.004
601.24,25,25.004
601.87,25,25.004
602.49,25,25.004
603.11,25,25.004
603.73,25,25.004
604.73,25,25.004
605.73,25,25.004
606.73,25,25.004
607.73,25,25.004
608.73,25,25.003
609.73,25,25.003
610.73,25,25.003
611.73,25,25.003
612.73,25,25.003
613.73,25,25.003
614.73,25,25.003
615.73,25,25.003
616.73,25,25.003
617.73,25,25.003
618.73,25,25.003
619.73,25,25.003
620.73,25,25.003
621.73,25,25.003
622.73,25,25.003
623.73,25,25.003
624.73,25,25.002
625.73,25,25.002
626.73,25,25.002
627.73,25,25.002
628.73,25,25.002
629.73,25,25.002
630.73,25,25.002
631.73,25,25.002
632.73,25,25.002
633.73,25,25.002
634.73,25,25.002
635.73,25,25.002
636.73,25,25.002
637.73,25,25.002
638.73,25,25.002
639.73,25,25.002
640.73,25,25.002
641.73,25,25.002
642.73,25,25.002
643.73,25,25.002
644.73,25,25.002
645.73,25,25.002
646.73,25,25.002
647.73,25,25.002
648.73,25,25.001
649.73,25,25.001
650.73,25,25.001
651.73,25,25.001
652.73,25,25.001
653.73,25,25.001
654.73,25,25.001
655.73,25,25.001
656.73,25,25.001
657.73,25,25.001
658.73,25,25.001
659.73,25,25.001
660.73,25,25.001
661.73,25,25.001
662.73,25,25.001
663.73,25,25.001
664.73,25,25.001
665.73,25,25.001
666.73,25,25.001
667.73,25,25.001
668.73,25,25.001
669.73,25,25.001
670.73,25,25.001
671.73,25,25.001
672.73,25,25.001
673.73,25,25.001
674.73,25,25.001
675.73,25,25.001
676.73,25,25.001
677.73,25,25.001
678.73,25,25.001
679.73,25,25.001
680.73,25,25.001
681.73,25,25.001
682.73,25,25.001
683.73,25,25.001
684.73,25,25.001
685.73,25,25.001
686.73,25,25.001
687.73,25,25.001
688.73,25,25.001
689.73,25,25.001
690.73,25,25.001
691.73,25,25.001
692.73,25,25.001
693.73,25,25.001
694.73,25,25.001
695.73,25,25.001
696.73,25,25.001
697.73,25,25
698.73,25,25
699.73,25,25
700,25,25
700.27,25,25
700.53,25,25
700.8,25,25
701.07,25,25
701.33,25,25
701.6,25,25
702.6,25,25
703.6,25,25
704.6,25,25
705.6,25,25
706.6,25,25
707.6,25,25
708.6,25,25
709.6,25,25
710.6,25,25
711.6,25,25
712.6,25,25
713.6,25,25
714.6,25,25
715.6,25,25
716.6,25,25
717.6,25,25
718.6,25,25
719.6,25,25
720.6,25,25
721.6,25,25
722.6,25,25
723.6,25,25
724.6,25,25
725.6,25,25
726.6,25,25
727.6,25,25
728.6,25,25
729.6,25,25
730.6,25,25
731.6,25,25
732.6,25,25
733.6,25,25
734.6,25,25
735.6,25,25
736.6,25,25
737.6,25,25
738.6,25,25
739.6,25,25
740.6,25,25
741.6,25,25
742.6,25,25
743.6,25,25
744.6,25,25
745.6,25,25
746.6,25,25
747.6,25,25
748.6,25,25
749.6,25,25
750.6,25,25
751.6,25,25
752.6,25,25
753.6,25,25
754.6,25,25
755.6,25,25
756.6,25,25
757.6,25,25
758.6,25,25
759.6,25,25
760.6,25,25
761.6,25,25
762.6,25,25
763.6,25,25
764.6,25,25
765.6,25,25
766.6,25,25
767.6,25,25
768.6,25,25
769.6,25,25
770.6,25,25
771.6,25,25
772.6,25,25
773.6,25,25
774.6,25,25
775.6,25,25
776.6,25,25
777.6,25,25
778.6,25,25
779.6,25,25
780.6,25,25
781.6,25,25
782.6,25,25
783.6,25,25
784.6,25,25
785.6,25,25
786.6,25,25
787.6,25,25
788.6,25,25
789.6,25,25
790.6,25,25
791.6,25,25
792.6,25,25
793.6,25,25
794.6,25,25
795.6,25,25
796.6,25,25
797.6,25,25
798.6,25,25
799.6,25,25
800,25,25
800.4,25,25
800.8,25,25
801.2,25,25
801.61,25,25
802.01,25,25
802.41,25,25
803.41,25,25
804.41,25,25
805.41,25,25
806.41,25,25
807.41,25,25
808.41,25,25
809.41,25,25
810.41,25,25
811.41,25,25
812.41,25,25
813.41,25,25
814.41,25,25
815.41,25,25
816.41,25,25
817.41,25,25
818.41,25,25
819.41,25,25
820.41,25,25
821.41,25,25
822.41,25,25
823.41,25,25
824.41,25,25
825.41,25,25
826.41,25,25
827.41,25,25
828.41,25,25
829.41,25,25
830.41,25,25
831.41,25,25
832.41,25,25
833.41,25,25
834.41,25,25
835.41,25,25
836.41,25,25
837.41,25,25
838.41,25,25
839.41,25,25
840.41,25,25
841.41,25,25
842.41,25,25
843.41,25,25
844.41,25,25
845.41,25,25
846.41,25,25
847.41,25,25
848.41,25,25
849.41,25,25
850.41,25,25
851.41,25,25
852.41,25,25
853.41,25,25
854.41,25,25
855.41,25,25
856.41,25,25
857.41,25,25
858.41,25,25
859.41,25,25
860.41,25,25
861.41,25,25
862.41,25,25
863.41,25,25
864.41,25,25
865.41,25,25
866.41,25,25
867.41,25,25
868.41,25,25
869.41,25,25
870.41,25,25
871.41,25,25
872.41,25,25
873.41,25,25
874.41,25,25
875.41,25,25
876.41,25,25
877.41,25,25
878.41,25,25
879.41,25,25
880.41,25,25
881.41,25,25
882.41,25,25
883.41,25,25
884.41,25,25
885.41,25,25
886.41,25,25
887.41,25,25
888.41,25,25
889.41,25,25
890.41,25,25
891.41,25,25
892.41,25,25
893.41,25,25
894.41,25,25
895.41,25,25
896.41,25,25
897.41,25,25
898.41,25,25
899.41,25,25
900,25,25
900.59,25,25
901.18,25,25
901.77,25,25
902.37,25,25
902.96,25,25
903.55,25,25
904.55,25,25
905.55,25,25
906.55,25,25
907.55,25,25
908.55,25,25
909.55,25,25
910.55,25,25
911.55,25,25
912.55,25,25
913.55,25,25
914.55,25,25
915.55,25,25
916.55,25,25
917.55,25,25
918.55,25,25
919.55,25,25
920.55,25,25
921.55,25,25
922.55,25,25
923.55,25,25
924.55,25,25
925.55,25,25
926.55,25,25
927.55,25,25
928.55,25,25
929.55,25,25
930.55,25,25
931.55,25,25
932.55,25,25
933.55,25,25
934.55,25,25
935.55,25,25
936.55,25,25
937.55,25,25
938.55,25,25
939.55,25,25
940.55,25,25
941.55,25,25
942.55,25,25
943.55,25,25
944.55,25,25
945.55,25,25
946.55,25,25
947.55,25,25
948.55,25,25
949.55,25,25
950.55,25,25
951.55,25,25
952.55,25,25
953.55,25,25
954.55,25,25
955.55,25,25
956.55,25,25
957.55,25,25
958.55,25,25
959.55,25,25
960.55,25,25
961.55,25,25
962.55,25,25
963.55,25,25
964.55,25,25
965.55,25,25
966.55,25,25
967.55,25,25
968.55,25,25
969.55,25,25
970.55,25,25
971.55,25,25
972.55,25,25
973.55,25,25
974.55,25,25
975.55,25,25
976.55,25,25
977.55,25,25
978.55,25,25
979.55,25,25
980.55,25,25
981.55,25,25
982.55,25,25
983.55,25,25
984.55,25,25
985.55,25,25
986.55,25,25
987.55,25,25
988.55,25,25
989.55,25,25
990.55,25,25
991.55,25,25
992.55,25,25
993.55,25,25
994.55,25,25
995.55,25,25
996.55,25,25
997.55,25,25
998.55,25,25
999.55,25,25
1000,25,25
1000.1,100,25
1000.1,100,25
1000.2,100,25
1000.2,100,25
1000.3,100,25
1000.4,100,25
1000.4,100,25
1000.5,100,25
1000.6,100,25
1000.7,100,25
1000.8,100,25
1000.9,100,25
1001.5,100,25
1002,100,25
1002.5,100,25
1003,100,25
1004,100,25
1005,100,25
1006,100,25
1007,100,25
1008,100,25
1009,100,25
1010,100,25
1011,100,25
1012,100,25
1013,100,25
1014,100,25
1015,100,25
1016,100,25
1017,100,25
1018,100,25
1019,100,25
1020,100,25
1021,100,25
1022,100,25
1023,100,25
1024,100,25
1025,100,25
1026,100,25
1027,100,25
1028,100,25
1029,100,25
1030,100,25
1031,100,25
1032,100,25
1033,100,25
1034,100,25
1035,100,25
1036,100,25
1037,100,25
1038,100,25
1039,100,25
1040,100,25
1041,100,25
1042,100,25
1043,100,25
1044,100,25
1045,100,25
1046,100,25
1047,100,25
1048,100,25
1049,100,25
1050,100,25
1051,100,25
1052,100,25
1053,100,25
1054,100,25
1055,100,25
1056,100,25
1057,100,25
1058,100,25
1059,100,25
1060,100,25
1061,100,25
1062,100,25
1063,100,25
1064,100,25
1065,100,25
1066,100,25
1067,100,25
1068,100,25
1069,100,25
1070,100,25
1071,100,25
1072,100,25
1073,100,25
1074,100,25
1075,100,25
1076,100,25
1077,100,25
1078,100,25
1079,100,25
1080,100,25
1081,100,25
1082,100,25
1083,100,25
1084,100,25
1085,100,27.615
1086,100,30.277
1087,100,32.864
1088,100,35.378
1089,100,37.821
1090,100,40.194
1091,100,42.499
1092,100,44.738
1093,100,46.912
1094,100,49.024
1095,100,51.074
1096,100,53.065
1097,100,54.997
1098,100,56.873
1099,100,58.694
1100,100,60.461
1100,100,60.469
1100,100,60.477
1100,100,60.484
1100,100,60.492
1100,100,60.5
1100,100,60.507
1100.1,100,60.584
1100.1,100,60.661
1100.2,100,60.738
1100.2,100,60.815
1100.2,100,60.892
1100.3,100,60.969
1100.7,100,61.739
1101.2,100,62.499
1101.6,100,63.246
1102.1,100,63.988
1102.5,100,64.712
1103,100,65.437
1104,100,67.002
1105,100,68.521
1106,100,69.993
1107,100,71.421
1108,100,72.805
1109,100,74.146
1110,100,75.446
1111,100,76.705
1112,100,77.926
1113,100,79.107
1114,100,80.252
1115,100,81.361
1116,100,82.434
1117,100,83.472
1118,100,84.478
1119,100,85.45
1120,100,86.391
1121,100,87.301
1122,100,88.182
1123,100,89.032
1124,100,89.855
1125,100,90.65
1126,100,91.418
1127,100,92.159
1128,100,92.876
1129,100,93.567
1130,100,94.234
1131,100,94.878
1132,100,95.5
1133,100,96.099
1134,100,96.676
1135,100,97.233
1136,100,97.769
1137,100,98.286
1138,100,98.783
1139,100,99.262
1140,100,99.723
1141,100,100.17
1142,100,100.59
1143,100,101
1144,100,101.39
1145,100,101.77
1146,100,102.13
1147,100,102.48
1148,100,102.81
1149,100,103.13
1150,100,103.44
1151,100,103.73
1152,100,104.01
1153,100,104.28
1154,100,104.53
1155,100,104.78
1156,100,105.01
1157,100,105.23
1158,100,105.44
1159,100,105.64
1160,100,105.83
1161,100,106.02
1162,100,106.19
1163,100,106.35
1164,100,106.5
1165,100,106.65
1166,100,106.79
1167,100,106.92
1168,100,107.04
1169,100,107.15
1170,100,107.26
1171,100,107.36
1172,100,107.45
1173,100,107.54
1174,100,107.62
1175,100,107.69
1176,100,107.76
1177,100,107.83
1178,100,107.88
1179,100,107.94
1180,100,107.98
1181,100,108.02
1182,100,108.06
1183,100,108.09
1184,100,108.12
1185,100,108.15
1186,100,108.16
1187,100,108.18
1188,100,108.19
1189,100,108.2
1190,100,108.21
1191,100,108.21
1192,100,108.2
1193,100,108.2
1194,100,108.19
1195,100,108.18
1196,100,108.17
1197,100,108.15
1198,100,108.13
1199,100,108.11
1200,100,108.08
1200,100,108.08
1200,100,108.08
1200,100,108.08
1200,100,108.08
1200.1,100,108.08
1200.1,100,108.08
1200.2,100,108.08
1200.4,100,108.07
1200.5,100,108.07
1200.7,100,108.07
1200.8,100,108.06
1200.9,100,108.06
1201.9,100,108.03
1202.9,100,108
1203.9,100,107.97
1204.9,100,107.93
1205.9,100,107.9
1206.9,100,107.86
1207.9,100,107.82
1208.9,100,107.78
1209.9,100,107.74
1210.9,100,107.69
1211.9,100,107.65
1212.9,100,107.6
1213.9,100,107.55
1214.9,100,107.51
1215.9,100,107.46
1216.9,100,107.4
1217.9,100,107.35
1218.9,100,107.3
1219.9,100,107.25
1220.9,100,107.19
1221.9,100,107.14
1222.9,100,107.08
1223.9,100,107.02
1224.9,100,106.97
1225.9,100,106.91
1226.9,100,106.85
1227.9,100,106.79
1228.9,100,106.73
1229.9,100,106.67
1230.9,100,106.61
1231.9,100,106.55
1232.9,100,106.49
1233.9,100,106.43
1234.9,100,106.37
1235.9,100,106.31
1236.9,100,106.25
1237.9,100,106.19
1238.9,100,106.13
1239.9,100,106.07
1240.9,100,106.01
1241.9,100,105.94
1242.9,100,105.88
1243.9,100,105.82
1244.9,100,105.76
1245.9,100,105.7
1246.9,100,105.64
1247.9,100,105.58
1248.9,100,105.52
1249.9,100,105.46
1250.9,100,105.4
1251.9,100,105.34
1252.9,100,105.28
1253.9,100,105.22
1254.9,100,105.16
1255.9,100,105.1
1256.9,100,105.04
1257.9,100,104.98
