real
-496.48
-467.97
-433.9
-394.59
-351.01
-304.79
-258.03
-212.92
-171.36
-134.66
-103.47
-77.811
-57.283
-41.242
-28.962
-19.74
-12.951
-8.0654
-4.6493
-2.3499
-0.88067
-0.0093546
0.45031
0.64321
0.67669
0.62535
0.53723
0.44055
0.35005
0.27207
0.20814
0.15743
0.1181
0.088059
0.065371
0.048373
0.035711
0.026317
0.01937
0.014244
0.010467
0.0076879
0.0056445
0.0041432
0.0030405
0.002231
0.0016369
0.0012009
0.00088095
0.00064622
0.00047403
0.00034771
0.00025505
0.00018708
0.00013722
0.00010065
7.3824e-05
5.4148e-05
3.9717e-05
2.9131e-05
2.1367e-05
1.5672e-05
1.1495e-05
8.4315e-06
6.1843e-06
4.536e-06
3.327e-06
2.4403e-06
1.7899e-06
1.3128e-06
9.6294e-07
7.0629e-07
5.1804e-07
3.7997e-07
2.787e-07
2.0442e-07
1.4994e-07
1.0997e-07
8.0663e-08
5.9164e-08
4.3395e-08
3.1829e-08
2.3346e-08
1.7124e-08
1.256e-08
9.2123e-09
6.757e-09
4.9561e-09
3.6351e-09
2.6663e-09
1.9556e-09
1.4344e-09
1.0521e-09
7.7169e-10
5.6602e-10
4.1516e-10
3.0451e-10
2.2335e-10
1.6382e-10
1.2016e-10
8.8133e-11
6.4643e-11
4.7414e-11
3.4777e-11
2.5508e-11
