imag
-906.18
-721.11
-561.35
-425.21
-311.46
-218.92
-146.12
-91.044
-51.172
-23.693
-5.7981
5.0518
10.965
13.576
14.084
13.332
11.89
10.139
8.3249
6.6062
5.0768
3.7846
2.7421
1.9357
1.3353
0.90305
0.60075
0.39434
0.25612
0.16498
0.1056
0.067273
0.042699
0.027029
0.017075
0.010771
0.0067868
0.0042729
0.0026885
0.0016909
0.0010631
0.00066826
0.00041999
0.00026392
0.00016583
0.00010419
6.5456e-05
4.1122e-05
2.5833e-05
1.6229e-05
1.0195e-05
6.4042e-06
4.023e-06
2.5272e-06
1.5875e-06
9.9724e-07
6.2644e-07
3.9351e-07
2.4719e-07
1.5528e-07
9.7542e-08
6.1273e-08
3.849e-08
2.4178e-08
1.5188e-08
9.5407e-09
5.9932e-09
3.7647e-09
2.3649e-09
1.4856e-09
9.3318e-10
5.8619e-10
3.6823e-10
2.3131e-10
1.453e-10
9.1274e-11
5.7336e-11
3.6017e-11
2.2625e-11
1.4212e-11
8.9276e-12
5.608e-12
3.5228e-12
2.2129e-12
1.3901e-12
8.7321e-13
5.4852e-13
3.4457e-13
2.1645e-13
1.3596e-13
8.5409e-14
5.3651e-14
3.3702e-14
2.1171e-14
1.3299e-14
8.3539e-15
5.2476e-15
3.2964e-15
2.0707e-15
1.3008e-15
8.1709e-16
5.1327e-16
3.2242e-16
2.0254e-16
1.2723e-16
