tempo,rootlocuspade
2.7388,-0.023569
2.7488,-0.02365
2.7588,-0.023731
2.7688,-0.023813
2.7788,-0.023894
2.7888,-0.023975
2.7988,-0.024056
2.8088,-0.024137
2.8188,-0.024218
2.8288,-0.024299
2.8388,-0.02438
2.8488,-0.024461
2.8588,-0.024542
2.8688,-0.024623
2.8788,-0.024704
2.8888,-0.024785
2.8988,-0.024866
2.9088,-0.024947
2.9188,-0.025027
2.9288,-0.025108
2.9388,-0.025189
2.9488,-0.025269
2.9588,-0.02535
2.9688,-0.025431
2.9788,-0.025511
2.9888,-0.025592
2.9988,-0.025672
3.0088,-0.025753
3.0188,-0.025833
3.0288,-0.025913
3.0388,-0.025994
3.0488,-0.026074
3.0588,-0.026154
3.0688,-0.026235
3.0788,-0.026315
3.0888,-0.026395
3.0988,-0.026475
3.1088,-0.026555
3.1188,-0.026635
3.1288,-0.026715
3.1388,-0.026795
3.1488,-0.026875
3.1588,-0.026955
3.1688,-0.027035
3.1788,-0.027115
3.1888,-0.027195
3.1988,-0.027274
3.2088,-0.027354
3.2188,-0.027434
3.2288,-0.027514
3.2388,-0.027593
3.2488,-0.027673
3.2588,-0.027753
3.2688,-0.027832
3.2788,-0.027912
3.2888,-0.027991
3.2988,-0.028071
3.3088,-0.02815
3.3188,-0.028229
3.3288,-0.028309
3.3388,-0.028388
3.3488,-0.028467
3.3588,-0.028547
3.3688,-0.028626
3.3788,-0.028705
3.3888,-0.028784
3.3988,-0.028863
3.4088,-0.028942
3.4188,-0.029021
3.4288,-0.0291
3.4388,-0.029179
3.4488,-0.029258
3.4588,-0.029337
3.4688,-0.029416
3.4788,-0.029495
3.4888,-0.029574
3.4988,-0.029652
3.5088,-0.029731
3.5188,-0.02981
3.5288,-0.029889
3.5388,-0.029967
3.5488,-0.030046
3.5588,-0.030124
3.5688,-0.030203
3.5788,-0.030281
3.5888,-0.03036
3.5988,-0.030438
3.6088,-0.030517
3.6188,-0.030595
3.6288,-0.030673
3.6388,-0.030752
3.6488,-0.03083
3.6588,-0.030908
3.6688,-0.030986
3.6788,-0.031065
3.6888,-0.031143
3.6988,-0.031221
3.7088,-0.031299
3.7188,-0.031377
3.7288,-0.031455
3.7388,-0.031533
3.7488,-0.031611
3.7588,-0.031689
3.7688,-0.031767
3.7788,-0.031844
3.7888,-0.031922
3.7988,-0.032
3.8088,-0.032078
3.8188,-0.032155
3.8288,-0.032233
3.8388,-0.032311
3.8488,-0.032388
3.8588,-0.032466
3.8688,-0.032543
3.8788,-0.032621
3.8888,-0.032698
3.8988,-0.032776
3.9088,-0.032853
3.9188,-0.032931
3.9288,-0.033008
3.9388,-0.033085
3.9488,-0.033162
3.9588,-0.03324
3.9688,-0.033317
3.9788,-0.033394
3.9888,-0.033471
3.9988,-0.033548
4.0088,-0.033625
4.0188,-0.033702
4.0288,-0.033779
4.0388,-0.033856
4.0488,-0.033933
4.0588,-0.03401
4.0688,-0.034087
4.0788,-0.034164
4.0888,-0.03424
4.0988,-0.034317
4.1088,-0.034394
4.1188,-0.034471
4.1288,-0.034547
4.1388,-0.034624
4.1488,-0.0347
4.1588,-0.034777
4.1688,-0.034853
4.1788,-0.03493
4.1888,-0.035006
4.1988,-0.035083
4.2088,-0.035159
4.2188,-0.035236
4.2288,-0.035312
4.2388,-0.035388
4.2488,-0.035464
4.2588,-0.035541
4.2688,-0.035617
4.2788,-0.035693
4.2888,-0.035769
4.2988,-0.035845
4.3088,-0.035921
4.3188,-0.035997
4.3288,-0.036073
4.3388,-0.036149
4.3488,-0.036225
4.3588,-0.036301
4.3688,-0.036377
4.3788,-0.036452
4.3888,-0.036528
4.3988,-0.036604
4.4088,-0.03668
4.4188,-0.036755
4.4288,-0.036831
4.4388,-0.036907
4.4488,-0.036982
4.4588,-0.037058
4.4688,-0.037133
4.4788,-0.037209
4.4888,-0.037284
4.4988,-0.03736
4.5088,-0.037435
4.5188,-0.03751
4.5288,-0.037586
4.5388,-0.037661
4.5488,-0.037736
4.5588,-0.037811
4.5688,-0.037886
4.5788,-0.037962
4.5888,-0.038037
4.5988,-0.038112
4.6088,-0.038187
4.6188,-0.038262
4.6288,-0.038337
4.6388,-0.038412
4.6488,-0.038487
4.6588,-0.038561
4.6688,-0.038636
4.6788,-0.038711
4.6888,-0.038786
4.6988,-0.038861
4.7088,-0.038935
4.7188,-0.03901
4.7288,-0.039085
4.7388,-0.039159
4.7488,-0.039234
4.7588,-0.039308
4.7688,-0.039383
4.7788,-0.039457
4.7888,-0.039532
4.7988,-0.039606
4.8088,-0.03968
4.8188,-0.039755
4.8288,-0.039829
4.8388,-0.039903
4.8488,-0.039978
4.8588,-0.040052
4.8688,-0.040126
4.8788,-0.0402
4.8888,-0.040274
4.8988,-0.040348
4.9088,-0.040422
4.9188,-0.040496
4.9288,-0.04057
4.9388,-0.040644
4.9488,-0.040718
4.9588,-0.040792
4.9688,-0.040866
4.9788,-0.04094
4.9888,-0.041013
4.9988,-0.041087
5.0088,-0.041161
5.0188,-0.041234
5.0288,-0.041308
5.0388,-0.041382
5.0488,-0.041455
5.0588,-0.041529
5.0688,-0.041602
5.0788,-0.041676
5.0888,-0.041749
5.0988,-0.041823
5.1088,-0.041896
5.1188,-0.041969
5.1288,-0.042043
5.1388,-0.042116
5.1488,-0.042189
5.1588,-0.042262
5.1688,-0.042335
5.1788,-0.042409
5.1888,-0.042482
5.1988,-0.042555
5.2088,-0.042628
5.2188,-0.042701
5.2288,-0.042774
5.2388,-0.042847
5.2488,-0.04292
5.2588,-0.042992
5.2688,-0.043065
5.2788,-0.043138
5.2888,-0.043211
5.2988,-0.043284
5.3088,-0.043356
5.3188,-0.043429
5.3288,-0.043502
5.3388,-0.043574
5.3488,-0.043647
5.3588,-0.043719
5.3688,-0.043792
5.3788,-0.043864
5.3888,-0.043937
5.3988,-0.044009
5.4088,-0.044081
5.4188,-0.044154
5.4288,-0.044226
5.4388,-0.044298
5.4488,-0.044371
5.4588,-0.044443
5.4688,-0.044515
5.4788,-0.044587
5.4888,-0.044659
5.4988,-0.044731
5.5088,-0.044803
5.5188,-0.044875
5.5288,-0.044947
5.5388,-0.045019
5.5488,-0.045091
5.5588,-0.045163
5.5688,-0.045235
5.5788,-0.045307
5.5888,-0.045378
5.5988,-0.04545
5.6088,-0.045522
5.6188,-0.045593
5.6288,-0.045665
5.6388,-0.045737
5.6488,-0.045808
5.6588,-0.04588
5.6688,-0.045951
5.6788,-0.046023
5.6888,-0.046094
5.6988,-0.046166
5.7088,-0.046237
5.7188,-0.046308
5.7288,-0.04638
5.7388,-0.046451
5.7488,-0.046522
5.7588,-0.046593
5.7688,-0.046665
5.7788,-0.046736
5.7888,-0.046807
5.7988,-0.046878
5.8088,-0.046949
5.8188,-0.04702
5.8288,-0.047091
5.8388,-0.047162
5.8488,-0.047233
5.8588,-0.047304
5.8688,-0.047374
5.8788,-0.047445
5.8888,-0.047516
5.8988,-0.047587
5.9088,-0.047657
5.9188,-0.047728
5.9288,-0.047799
5.9388,-0.047869
5.9488,-0.04794
5.9588,-0.048011
5.9688,-0.048081
5.9788,-0.048151
5.9888,-0.048222
5.9988,-0.048292
6.0088,-0.048363
6.0188,-0.048433
6.0288,-0.048503
6.0388,-0.048574
6.0488,-0.048644
6.0588,-0.048714
6.0688,-0.048784
6.0788,-0.048854
6.0888,-0.048925
6.0988,-0.048995
6.1088,-0.049065
6.1188,-0.049135
6.1288,-0.049205
6.1388,-0.049275
6.1488,-0.049345
6.1588,-0.049414
6.1688,-0.049484
6.1788,-0.049554
6.1888,-0.049624
6.1988,-0.049694
6.2088,-0.049763
6.2188,-0.049833
6.2288,-0.049903
6.2388,-0.049972
6.2488,-0.050042
6.2588,-0.050111
6.2688,-0.050181
6.2788,-0.05025
6.2888,-0.05032
6.2988,-0.050389
6.3088,-0.050459
6.3188,-0.050528
6.3288,-0.050597
6.3388,-0.050667
6.3488,-0.050736
6.3588,-0.050805
6.3688,-0.050874
6.3788,-0.050944
6.3888,-0.051013
6.3988,-0.051082
6.4088,-0.051151
6.4188,-0.05122
6.4288,-0.051289
6.4388,-0.051358
6.4488,-0.051427
6.4588,-0.051496
6.4688,-0.051564
6.4788,-0.051633
6.4888,-0.051702
6.4988,-0.051771
6.5088,-0.05184
6.5188,-0.051908
6.5288,-0.051977
6.5388,-0.052046
6.5488,-0.052114
6.5588,-0.052183
6.5688,-0.052251
6.5788,-0.05232
6.5888,-0.052388
6.5988,-0.052457
6.6088,-0.052525
6.6188,-0.052593
6.6288,-0.052662
6.6388,-0.05273
6.6488,-0.052798
6.6588,-0.052867
