polo0,polo1,polo2,polo3,polo4,polo5,polo6,polo7,polo8,polo9,polo10
-0.23475,0.23475,-0.17191,0.17191,-0.37286,0.37286,-0.10007,0.10007,-0.03209,0,0.03209
-0.22795,0.22795,-0.17267,0.17267,-0.32225,0.32225,-0.10054,0.10054,-0.0324,0,0.0324
-0.22053,0.22053,-0.17377,0.17377,-0.27695,0.27695,-0.10098,0.10098,-0.032679,0,0.032679
-0.21243,0.21243,-0.17542,0.17542,-0.23795,0.23795,-0.1014,0.1014,-0.032931,0,0.032931
-0.20326,0.20326,-0.17818,0.17818,-0.2051,0.2051,-0.1018,0.1018,-0.033159,0,0.033159
-0.19389,0.19389,-0.18227,0.18227,-0.18166,0.18166,-0.10212,0.10212,-0.033336,0,0.033336
-0.19389,0.19389,-0.18227,0.18227,-0.18166,0.18166,-0.10212,0.10212,-0.033336,0,0.033336
-0.19388,0.19388,-0.18227,0.18227,-0.18161,0.18161,-0.10212,0.10212,-0.033337,0,0.033337
-0.19388,0.19388,-0.18227,0.18227,-0.18161,0.18161,-0.10212,0.10212,-0.033337,0,0.033337
-0.19386,0.19386,-0.18227,0.18227,-0.18156,0.18156,-0.10212,0.10212,-0.033337,0,0.033337
-0.19386,0.19386,-0.18227,0.18227,-0.18156,0.18156,-0.10212,0.10212,-0.033337,0,0.033337
-0.1934,0.1934,-0.18181,0.18181,-0.17774,0.17774,-0.10217,0.10217,-0.033367,0,0.033367
-0.1946,0.1946,-0.1747,0.1747,-0.15501,0.15501,-0.10252,0.10252,-0.033557,0,0.033557
-0.19526,0.19526,-0.16859,0.16859,-0.13609,0.13609,-0.10282,0.10282,-0.033731,0,0.033731
-0.19559,0.19559,-0.16338,0.16338,-0.12029,0.12029,-0.10306,0.10306,-0.033892,0,0.033892
-0.19577,0.19577,-0.15902,0.15902,-0.107,0.107,-0.10319,0.10319,-0.03404,0,0.03404
-0.19587,0.19587,-0.15555,0.15555,-0.095759,0.095759,-0.10317,0.10317,-0.034176,0,0.034176
-0.19593,0.19593,-0.15296,0.15296,-0.086175,0.086175,-0.10302,0.10302,-0.0343,0,0.0343
-0.19597,0.19597,-0.15117,0.15117,-0.077963,0.077963,-0.10284,0.10284,-0.034401,0,0.034401
-0.19599,0.19599,-0.15001,0.15001,-0.070945,0.070945,-0.10278,0.10278,-0.034445,0,0.034445
-0.196,0.196,-0.14929,0.14929,-0.065143,0.065143,-0.10293,0.10293,-0.034315,0,0.034315
-0.19601,0.19601,-0.14886,0.14886,-0.060968,0.060968,-0.10324,0.10324,-0.033613,0,0.033613
-0.19601,0.19601,-0.1486,0.1486,-0.05943,0.05943,-0.10357,0.10357,-0.031362,0,0.031362
-0.19602,0.19602,-0.14823,0.14823,-0.061998,0.061998,-0.10435,0.10435,-0.021357,0,0.021357
-0.19602,0.19602,-0.14821,0.14821,-0.06218,0.06218,-0.1044,0.1044,-0.020659,0,0.020659
